reference,text,same?,notes,verb,pronominal,verb_PGN,suffx_PGN,vb_Cl_type,pn_Cl_type,verb_ca,pron_ca
1_Samuel 17:35,וַיָּ֣קָם עָלַ֔י וְהֶחֱזַ֨קְתִּי֙ בִּזְקָנֹ֔ו ,,,יָּ֣קָם ,זְקָנֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WQt0,543960,543961
1_Samuel 19:8,וַיַּ֤ךְ בָּהֶם֙ מַכָּ֣ה גְדֹולָ֔ה וַיָּנֻ֖סוּ מִפָּנָֽיו׃ ,,,יַּ֤ךְ ,פָּנָֽיו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Way0,544262,544263
1_Samuel 22:1,וַיִּמָּלֵ֖ט אֶל־מְעָרַ֣ת עֲדֻלָּ֑ם וַיִּשְׁמְע֤וּ אֶחָיו֙ וְכָל־בֵּ֣ית אָבִ֔יו ,,,יִּמָּלֵ֖ט ,אֶחָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,544653,544654
1_Samuel 24:3,וַיֵּ֗לֶךְ לְבַקֵּ֤שׁ אֶת־דָּוִד֙ וַֽאֲנָשָׁ֔יו עַל־פְּנֵ֖י צוּרֵ֥י הַיְּעֵלִֽים׃ ,,,יֵּ֗לֶךְ ,אֲנָשָׁ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,544920,544921
1_Samuel 25:2,וַיְהִ֛י בִּגְזֹ֥ז אֶת־צֹאנֹ֖ו בַּכַּרְמֶֽל׃ ,,,יְהִ֛י ,צֹאנֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,545040,545041
1_Samuel 30:12,וַיֹּ֔אכַל וַתָּ֥שָׁב רוּחֹ֖ו אֵלָ֑יו ,,,יֹּ֔אכַל ,רוּחֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,545729,545730
1_Samuel 31:9,וַיְשַׁלְּח֨וּ בְאֶֽרֶץ־פְּלִשְׁתִּ֜ים סָבִ֗יב לְבַשֵּׂ֛ר בֵּ֥ית עֲצַבֵּיהֶ֖ם וְאֶת־הָעָֽם׃ ,,,יְשַׁלְּח֨וּ ,עֲצַבֵּיהֶ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,InfC,545866,545867
2_Samuel 1:2,וְהִנֵּה֩ אִ֨ישׁ בָּ֤א מִן־הַֽמַּחֲנֶה֙ מֵעִ֣ם שָׁא֔וּל וּבְגָדָ֣יו קְרֻעִ֔ים ,,,בָּ֤א ,בְגָדָ֣יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,Ptcp,545885,545886
2_Samuel 3:30,וְיֹואָב֙ וַאֲבִישַׁ֣י אָחִ֔יו הָרְג֖וּ לְאַבְנֵ֑ר עַל֩ אֲשֶׁ֨ר הֵמִ֜ית אֶת־עֲשָׂהאֵ֧ל אֲחִיהֶ֛ם בְּגִבְעֹ֖ון בַּמִּלְחָמָֽה׃ פ ,,,הָרְג֖וּ ,אֲחִיהֶ֛ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WXQt,xQt0,546277,546278
2_Samuel 3:36,וְכָל־הָעָ֣ם הִכִּ֔ירוּ וַיִּיטַ֖ב בְּעֵֽינֵיהֶ֑ם ,,,הִכִּ֔ירוּ ,עֵֽינֵיהֶ֑ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WXQt,Way0,546307,546308
